assumption_id,assumption_title,scenario,company,year,metric,value,unit,derivation_type,confidence,formula_or_rule,why_this_number,source_ids,assumption_ids,replacement_path
A11,gpu_asic_mix,Bear,Microsoft,2026,gb200_share,0.045,share of inference-serving accelerator load,Editable numeric scenario,Medium,gb200_share = gpu_share * default_gpu_generation_mix_gb200,Default GPU-generation migration assumption; executive workbook allows later manual replacement by company/year/scenario.,SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Company fleet inventory, accelerator-hours or procurement/deployment records by GPU generation."
A11,gpu_asic_mix,Bear,Microsoft,2026,purpose_built_accelerator_share,0.1,share of inference-serving accelerator load,Numeric scenario,Medium,1 - gpu_share,"Purpose-built bucket: Maia inference accelerator. Maia 200 is officially designated for inference, Azure AI Foundry and Microsoft 365 Copilot. Exact serving fleet share is undisclosed; gradual Maia adoption is modeled.",SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Microsoft disclosure of Maia accelerator-hours or Copilot model/hardware routing mix.
A08,tokens_per_second_per_mw,Bear,Microsoft,2026,fleet_reference_tps_per_mw,548924,generated output tokens/sec/MW,Fleet-weighted public benchmark reference,Medium,h200_share*h200_reference + b200_share*b200_reference + gb200_share*gb200_reference + purpose_built_share*purpose_built_reference,"Selected InferenceX proxy model: gptoss120b. Each GPU-generation reference is public benchmark input or documented B200 placeholder, not measured company production throughput.",SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Comparable production output-token throughput or a more closely matched benchmark.
A08,tokens_per_second_per_mw,Bear,Microsoft,2026,commercial_workload_fit_factor,0.4,share of public reference throughput,Scenario assumption,Medium,reference_serving_tps_per_mw = fleet_reference_tps_per_mw * commercial_workload_fit_factor,"Commercial workload class: Copilot / routed closed-model assistant. Closed-model, reasoning, long-context and SLO mismatch is made explicit rather than hiding it in the benchmark.",SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Matched commercial serving benchmark by product surface, context shape and latency SLO."
A08,tokens_per_second_per_mw,Bear,Microsoft,2026,reference_serving_tps_per_mw,219570,generated output tokens/sec/MW,Workload-adjusted benchmark proxy,Medium,fleet_reference_tps_per_mw * commercial_workload_fit_factor,This is the coefficient used for headline token generation; it is intentionally below the raw public reference unless the commercial workload is closely matched.,SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Provider production output-token throughput with comparable workload/SLO.
A08,tokens_per_second_per_mw,Bear,Microsoft,2026,purpose_built_tps_per_mw,289976,generated output tokens/sec/MW,Conservative no-uplift proxy,Medium,purpose_built_tps_per_mw = purpose_built_reference_tps_per_mw * commercial_workload_fit_factor until comparable output-token benchmark is adopted,No comparable public output-token/MW row adopted; B200 public reference placeholder is used and remains editable.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Matched-workload generated-output benchmark for the provider purpose-built accelerator.
A05,inference_power_share,Bear,Microsoft,2026,inference_power_share,0.47,share of AI IT load,Scenario allocation,Medium,inference_gw = ai_it_load_gw * inference_power_share,Copilot commercial serving growth supports rising inference allocation; OpenAI model-owner output must remain separately attributed.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Provider-specific inference/training workload power telemetry.
A05,inference_power_share,Bear,Microsoft,2026,inference_gw,0.546,GW,Derived formula,Medium,ai_it_load_gw * inference_power_share,This is the operational power eligible to become commercial generated output tokens through the selected TPS/MW proxy.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Recompute after AI allocation or inference-share evidence changes.
A06,training_power_share,Bear,Microsoft,2026,training_power_share,0.53,share of AI IT load,Derived allocation,Medium,1 - inference_power_share,Training receives the complementary modeled AI IT allocation; it is not a disclosed company workload split.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Provider-specific inference/training workload power telemetry.
A06,training_power_share,Bear,Microsoft,2026,training_gw,0.615,GW,Derived formula,Medium,ai_it_load_gw * training_power_share,Training GW is shown separately so commercial inference token capacity is not overstated.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Recompute after AI allocation or workload-split evidence changes.
A08,tokens_per_second_per_mw,Bear,Microsoft,2026,tokens_per_second_per_mw,219570,generated output tokens/sec/MW,Derived estimate + benchmark calibration,Medium,fleet_reference_tps_per_mw * commercial_workload_fit_factor,"GPT-OSS 120B B200 output-token benchmark proxy. Maia has no adopted comparable output-token/MW row, so no uplift is applied. Common filter: B200, single_turn, ISL=1024, OSL=1024, output_tok_s_mw p50. Commercial workload fit factor: Copilot traffic mixes routed proprietary models and interactive SLOs; GPT-OSS is a reference ceiling, not direct telemetry.",SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Comparable production output-token throughput with model, hardware, precision, ISL/OSL and SLO matched."
A01,contracted_power_gw,Bear,Microsoft,2027,contracted_power_gw,5.25,GW,Scenario capacity envelope,Medium,linear interpolation between 2026 and 2030 company capacity endpoints,Scenario envelope for Microsoft-controlled/Copilot serving burden; not an official contracted-GW disclosure.,ASSUMP_POWER_RAMP; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Company/site-level committed MW/GW, interconnect and contract disclosure."
A02,active_power_gw,Bear,Microsoft,2027,operational_deployment_share,0.48609524,share,Scenario conversion,Medium,active_power_gw / contracted_power_gw,This is the single explicit conversion from contracted/attributed capacity to operationally usable capacity.,ASSUMP_POWER_RAMP; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Energized operational capacity divided by contracted/attributed capacity.
A02,active_power_gw,Bear,Microsoft,2027,active_power_gw,2.552,GW,Derived scenario,Medium,contracted_power_gw * operational_deployment_share,"Active GW is a staged operational deployment fraction of modeled capacity, reflecting site energization and accelerator availability.",ASSUMP_POWER_RAMP; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Energization dates, accelerator deliveries and operational powered-rack telemetry."
A03,pue,Bear,Microsoft,2027,pue,1.2,ratio,Scenario parameter,Medium,it_load_gw = active_power_gw / pue,No provider-wide site-level PUE is used as a disclosed fact; PUE represents facility-to-IT conversion within the scenario.,ASSUMP_POWER_RAMP,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Site-level measured PUE matched to attributed AI capacity.
A02,active_power_gw,Bear,Microsoft,2027,it_load_gw,2.127,GW,Derived formula,Medium,active_power_gw / pue,Facility power is converted to IT-deliverable power before attributing AI workloads.,ASSUMP_POWER_RAMP; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Recompute once active power and PUE become site-observable.
A04,ai_workload_share,Bear,Microsoft,2027,ai_workload_share,0.86,share,Scenario allocation,Medium,ai_it_load_gw = it_load_gw * ai_workload_share,Azure/Copilot serving burden is AI-oriented but shares infrastructure with platform and reserve overhead; 86% is a scenario allocation.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Model-owner AI workload allocation or cluster scheduling telemetry.
A04,ai_workload_share,Bear,Microsoft,2027,ai_it_load_gw,1.829,GW,Derived formula,Medium,it_load_gw * ai_workload_share,Only the AI-attributed portion of IT load enters training/inference allocation.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Recompute after ai_workload_share is replaced by telemetry.
A11,gpu_asic_mix,Bear,Microsoft,2027,gpu_share,0.812,share of inference-serving accelerator load,Numeric scenario,Medium,gpu_share interpolated from company 2026/2030 accelerator-mix endpoints,"Maia 200 is officially designated for inference, Azure AI Foundry and Microsoft 365 Copilot. Exact serving fleet share is undisclosed; gradual Maia adoption is modeled.",SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Microsoft disclosure of Maia accelerator-hours or Copilot model/hardware routing mix.
A11,gpu_asic_mix,Bear,Microsoft,2027,h200_share,0.355,share of inference-serving accelerator load,Editable numeric scenario,Medium,h200_share = gpu_share * default_gpu_generation_mix_h200,Default GPU-generation migration assumption; executive workbook allows later manual replacement by company/year/scenario.,SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Company fleet inventory, accelerator-hours or procurement/deployment records by GPU generation."
A11,gpu_asic_mix,Bear,Microsoft,2027,b200_share,0.315,share of inference-serving accelerator load,Editable numeric scenario,Medium,b200_share = gpu_share * default_gpu_generation_mix_b200,Default GPU-generation migration assumption; executive workbook allows later manual replacement by company/year/scenario.,SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Company fleet inventory, accelerator-hours or procurement/deployment records by GPU generation."
A11,gpu_asic_mix,Bear,Microsoft,2027,gb200_share,0.142,share of inference-serving accelerator load,Editable numeric scenario,Medium,gb200_share = gpu_share * default_gpu_generation_mix_gb200,Default GPU-generation migration assumption; executive workbook allows later manual replacement by company/year/scenario.,SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Company fleet inventory, accelerator-hours or procurement/deployment records by GPU generation."
A11,gpu_asic_mix,Bear,Microsoft,2027,purpose_built_accelerator_share,0.188,share of inference-serving accelerator load,Numeric scenario,Medium,1 - gpu_share,"Purpose-built bucket: Maia inference accelerator. Maia 200 is officially designated for inference, Azure AI Foundry and Microsoft 365 Copilot. Exact serving fleet share is undisclosed; gradual Maia adoption is modeled.",SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Microsoft disclosure of Maia accelerator-hours or Copilot model/hardware routing mix.
A08,tokens_per_second_per_mw,Bear,Microsoft,2027,fleet_reference_tps_per_mw,598706,generated output tokens/sec/MW,Fleet-weighted public benchmark reference,Medium,h200_share*h200_reference + b200_share*b200_reference + gb200_share*gb200_reference + purpose_built_share*purpose_built_reference,"Selected InferenceX proxy model: gptoss120b. Each GPU-generation reference is public benchmark input or documented B200 placeholder, not measured company production throughput.",SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Comparable production output-token throughput or a more closely matched benchmark.
A08,tokens_per_second_per_mw,Bear,Microsoft,2027,commercial_workload_fit_factor,0.4,share of public reference throughput,Scenario assumption,Medium,reference_serving_tps_per_mw = fleet_reference_tps_per_mw * commercial_workload_fit_factor,"Commercial workload class: Copilot / routed closed-model assistant. Closed-model, reasoning, long-context and SLO mismatch is made explicit rather than hiding it in the benchmark.",SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Matched commercial serving benchmark by product surface, context shape and latency SLO."
A08,tokens_per_second_per_mw,Bear,Microsoft,2027,reference_serving_tps_per_mw,239482,generated output tokens/sec/MW,Workload-adjusted benchmark proxy,Medium,fleet_reference_tps_per_mw * commercial_workload_fit_factor,This is the coefficient used for headline token generation; it is intentionally below the raw public reference unless the commercial workload is closely matched.,SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Provider production output-token throughput with comparable workload/SLO.
A08,tokens_per_second_per_mw,Bear,Microsoft,2027,purpose_built_tps_per_mw,289976,generated output tokens/sec/MW,Conservative no-uplift proxy,Medium,purpose_built_tps_per_mw = purpose_built_reference_tps_per_mw * commercial_workload_fit_factor until comparable output-token benchmark is adopted,No comparable public output-token/MW row adopted; B200 public reference placeholder is used and remains editable.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Matched-workload generated-output benchmark for the provider purpose-built accelerator.
A05,inference_power_share,Bear,Microsoft,2027,inference_power_share,0.515,share of AI IT load,Scenario allocation,Medium,inference_gw = ai_it_load_gw * inference_power_share,Copilot commercial serving growth supports rising inference allocation; OpenAI model-owner output must remain separately attributed.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Provider-specific inference/training workload power telemetry.
A05,inference_power_share,Bear,Microsoft,2027,inference_gw,0.942,GW,Derived formula,Medium,ai_it_load_gw * inference_power_share,This is the operational power eligible to become commercial generated output tokens through the selected TPS/MW proxy.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Recompute after AI allocation or inference-share evidence changes.
A06,training_power_share,Bear,Microsoft,2027,training_power_share,0.485,share of AI IT load,Derived allocation,Medium,1 - inference_power_share,Training receives the complementary modeled AI IT allocation; it is not a disclosed company workload split.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Provider-specific inference/training workload power telemetry.
A06,training_power_share,Bear,Microsoft,2027,training_gw,0.887,GW,Derived formula,Medium,ai_it_load_gw * training_power_share,Training GW is shown separately so commercial inference token capacity is not overstated.,SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,Recompute after AI allocation or workload-split evidence changes.
A08,tokens_per_second_per_mw,Bear,Microsoft,2027,tokens_per_second_per_mw,239482,generated output tokens/sec/MW,Derived estimate + benchmark calibration,Medium,fleet_reference_tps_per_mw * commercial_workload_fit_factor,"GPT-OSS 120B B200 output-token benchmark proxy. Maia has no adopted comparable output-token/MW row, so no uplift is applied. Common filter: B200, single_turn, ISL=1024, OSL=1024, output_tok_s_mw p50. Commercial workload fit factor: Copilot traffic mixes routed proprietary models and interactive SLOs; GPT-OSS is a reference ceiling, not direct telemetry.",SRC_MS_PHI; SRC_OPENAI_GPT41_DOCS; SRC_MS_PHI4_TECHREPORT; SRC_MS_MAIA200; SRC_SEMIANALYSIS_INFERENCEX; ASSUMP_NUMERIC_ACCELERATOR_MIX,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Comparable production output-token throughput with model, hardware, precision, ISL/OSL and SLO matched."
A01,contracted_power_gw,Bear,Microsoft,2028,contracted_power_gw,6.5,GW,Scenario capacity envelope,Medium,linear interpolation between 2026 and 2030 company capacity endpoints,Scenario envelope for Microsoft-controlled/Copilot serving burden; not an official contracted-GW disclosure.,ASSUMP_POWER_RAMP; SRC_MS_MAIA200,ASSUMP_POWER_RAMP; ASSUMP_MS_OPENAI_ATTRIBUTION; ASSUMP_NUMERIC_ACCELERATOR_MIX; ASSUMP_INFERENCE_SHARE_NOT_FACT_60,"Company/site-level committed MW/GW, interconnect and contract disclosure."
