source_section,target_section,stage,hypothesis,source_metric,target_metric,best_forward_lag_quarters,best_forward_corr,best_forward_observations,best_same_or_forward_lag_quarters,best_same_or_forward_corr,best_same_or_forward_observations,best_any_lag_quarters,best_any_corr,best_abs_lag_quarters,best_abs_corr,signal_class,evidence_note
DRAM,HW equipment,memory_capacity_expansion,"Memory capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,0.0,0.9753466936136517,4,0.0,0.9753466936136517,0.0,0.9753466936136517,no forward evidence,"Positive relation exists only outside forward lags; best positive lag 0Q, corr 0.98."
DRAM,SW equipment,memory_capacity_expansion,"Memory capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,0.0,0.8749604463409602,4,-3.0,0.9652983318105831,-3.0,0.9652983318105831,no forward evidence,"Positive relation exists only outside forward lags; best positive lag -3Q, corr 0.97."
DRAM,components,memory_capacity_expansion,"Memory capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,,,0,-3.0,0.8123880023891703,-3.0,0.8123880023891703,no forward evidence,"Positive relation exists only outside forward lags; best positive lag -3Q, corr 0.81."
DRAM,meterier,memory_capacity_expansion,"Memory capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,0.0,0.36582034521992957,4,-2.0,0.5849723347346708,-2.0,0.5849723347346708,no forward evidence,"Positive relation exists only outside forward lags; best positive lag -2Q, corr 0.58."
AI Chip,foundry,accelerator_supply_chain,"AI accelerator investment cycle pulls memory, advanced packaging, and foundry demand.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,,,0,,,,,no data,No lag had enough overlapping YoY observations.
Hyperscalers,Server ODM,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,,,0,,,0,,,,,no data,No lag had enough overlapping YoY observations.
NAND,HW equipment,memory_capacity_expansion,"Storage capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,,,0,,,,,no data,No lag had enough overlapping YoY observations.
NAND,SW equipment,memory_capacity_expansion,"Storage capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,,,0,,,,,no data,No lag had enough overlapping YoY observations.
NAND,components,memory_capacity_expansion,"Storage capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,,,0,,,,,no data,No lag had enough overlapping YoY observations.
NAND,meterier,memory_capacity_expansion,"Storage capex cycle should lead semiconductor equipment, materials, and component revenue.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,,,0,,,,,no data,No lag had enough overlapping YoY observations.
